Date,kNDVI,NIRv,Tropomi_SIF,,,,,,,,,
4/21/01,,,,,,,,,,,,
4/22/01,,,,,,,,,,,,
4/23/01,,,,,,,,,,,,
4/24/01,0.287,0.102,,,,,,,,,,
4/25/01,0.485,0.14,,,,,,,,,,
4/26/01,0.318,0.113,,,,,,,,,,
4/27/01,,,,,,,,,,,,
4/28/01,,,,,,,,,,,,
4/29/01,,,,,,,,,,,,
4/30/01,,,,,,,,,,,,
5/1/01,,,,,,,,,,,,
5/2/01,,,,,,,,,,,,
5/3/01,,,,,,,,,,,,
5/4/01,,,,,,,,,,,,
5/5/01,,,,,,,,,,,,
5/6/01,0.544,0.152,,,,,,,,,,
5/7/01,0.425,0.131,,,,,,,,,,
5/8/01,,,,,,,,,,,,
5/9/01,0.527,0.15,,,,,,,,,,
5/10/01,0.323,0.113,,,,,,,,,,
5/11/01,0.555,0.155,,,,,,,,,,
5/12/01,,,,,,,,,,,,
5/13/01,,,,,,,,,,,,
5/14/01,,,,,,,,,,,,
5/15/01,,,,,,,,,,,,
5/16/01,,,,,,,,,,,,
5/17/01,,,,,,,,,,,,
5/18/01,,,,,,,,,,,,
5/19/01,,,,,,,,,,,,
5/20/01,0.662,0.178,,,,,,,,,,
5/21/01,0.477,0.146,,,,,,,,,,
5/22/01,0.619,0.171,,,,,,,,,,
5/23/01,,,,,,,,,,,,
5/24/01,0.452,0.14,,,,,,,,,,
5/25/01,0.727,0.19,,,,,,,,,,
5/26/01,0.448,0.139,,,,,,,,,,
5/27/01,,,,,,,,,,,,
5/28/01,,,,,,,,,,,,
5/29/01,0.749,0.183,,,,,,,,,,
5/30/01,,,,,,,,,,,,
5/31/01,0.733,0.195,,,,,,,,,,
6/1/01,,,,,,,,,,,,
6/2/01,0.233,0.057,,,,,,,,,,
6/3/01,,,,,,,,,,,,
6/4/01,,,,,,,,,,,,
6/5/01,,,,,,,,,,,,
6/6/01,0.635,0.16,,,,,,,,,,
6/7/01,0.733,0.197,,,,,,,,,,
6/8/01,0.723,0.196,,,,,,,,,,
6/9/01,,,,,,,,,,,,
6/10/01,,,,,,,,,,,,
6/11/01,,,,,,,,,,,,
6/12/01,,,,,,,,,,,,
6/13/01,0.664,0.17,,,,,,,,,,
6/14/01,,,,,,,,,,,,
6/15/01,,,,,,,,,,,,
6/16/01,,,,,,,,,,,,
6/17/01,,,,,,,,,,,,
6/18/01,,,,,,,,,,,,
6/19/01,,,,,,,,,,,,
6/20/01,,,,,,,,,,,,
6/21/01,,,,,,,,,,,,
6/22/01,,,,,,,,,,,,
6/23/01,,,,,,,,,,,,
6/24/01,,,,,,,,,,,,
6/25/01,,,,,,,,,,,,
6/26/01,,,,,,,,,,,,
6/27/01,,,,,,,,,,,,
6/28/01,,,,,,,,,,,,
6/29/01,,,,,,,,,,,,
6/30/01,,,,,,,,,,,,
7/1/01,,,,,,,,,,,,
7/2/01,,,,,,,,,,,,
7/3/01,0.804,0.193,,,,,,,,,,
7/4/01,0.534,0.156,,,,,,,,,,
7/5/01,0.877,0.241,,,,,,,,,,
7/6/01,0.63,0.176,,,,,,,,,,
7/7/01,,,,,,,,,,,,
7/8/01,0.655,0.184,,,,,,,,,,
7/9/01,0.854,0.233,,,,,,,,,,
7/10/01,0.59,0.175,,,,,,,,,,
7/11/01,0.493,0.153,,,,,,,,,,
7/12/01,0.808,0.217,,,,,,,,,,
7/13/01,0.517,0.158,,,,,,,,,,
7/14/01,,,,,,,,,,,,
7/15/01,,,,,,,,,,,,
7/16/01,,,,,,,,,,,,
7/17/01,,,,,,,,,,,,
7/18/01,,,,,,,,,,,,
7/19/01,,,,,,,,,,,,
7/20/01,,,,,,,,,,,,
7/21/01,,,,,,,,,,,,
7/22/01,0.521,0.162,,,,,,,,,,
7/23/01,,,,,,,,,,,,
7/24/01,,,,,,,,,,,,
7/25/01,0.776,0.189,,,,,,,,,,
7/26/01,0.64,0.18,,,,,,,,,,
7/27/01,0.523,0.158,,,,,,,,,,
7/28/01,,,,,,,,,,,,
7/29/01,,,,,,,,,,,,
7/30/01,,,,,,,,,,,,
7/31/01,,,,,,,,,,,,
8/1/01,0.278,0.094,,,,,,,,,,
8/2/01,0.686,0.199,,,,,,,,,,
8/3/01,,,,,,,,,,,,
8/4/01,,,,,,,,,,,,
8/5/01,0.445,0.146,,,,,,,,,,
8/6/01,0.75,0.204,,,,,,,,,,
8/7/01,0.465,0.148,,,,,,,,,,
8/8/01,0.753,0.204,,,,,,,,,,
8/9/01,0.454,0.147,,,,,,,,,,
8/10/01,0.756,0.204,,,,,,,,,,
8/11/01,0.594,0.173,,,,,,,,,,
8/12/01,0.445,0.145,,,,,,,,,,
8/13/01,0.737,0.201,,,,,,,,,,
8/14/01,,,,,,,,,,,,
8/15/01,0.705,0.191,,,,,,,,,,
8/16/01,,,,,,,,,,,,
8/17/01,,,,,,,,,,,,
8/18/01,,,,,,,,,,,,
8/19/01,0.771,0.21,,,,,,,,,,
8/20/01,0.708,0.199,,,,,,,,,,
8/21/01,,,,,,,,,,,,
8/22/01,,,,,,,,,,,,
8/23/01,,,,,,,,,,,,
8/24/01,0.862,0.245,,,,,,,,,,
8/25/01,0.483,0.151,,,,,,,,,,
8/26/01,0.764,0.205,,,,,,,,,,
8/27/01,0.559,0.164,,,,,,,,,,
8/28/01,0.428,0.144,,,,,,,,,,
8/29/01,0.697,0.195,,,,,,,,,,
8/30/01,,,,,,,,,,,,
8/31/01,,,,,,,,,,,,
9/1/01,,,,,,,,,,,,
9/2/01,,,,,,,,,,,,
9/3/01,,,,,,,,,,,,
9/4/01,,,,,,,,,,,,
9/5/01,,,,,,,,,,,,
9/6/01,,,,,,,,,,,,
9/7/01,,,,,,,,,,,,
9/8/01,0.427,0.141,,,,,,,,,,
9/9/01,0.735,0.198,,,,,,,,,,
9/10/01,,,,,,,,,,,,
9/11/01,0.695,0.189,,,,,,,,,,
9/12/01,0.517,0.154,,,,,,,,,,
9/13/01,0.411,0.136,,,,,,,,,,
9/14/01,0.591,0.169,,,,,,,,,,
9/15/01,0.472,0.153,,,,,,,,,,
9/16/01,0.609,0.174,,,,,,,,,,
9/17/01,,,,,,,,,,,,
9/18/01,,,,,,,,,,,,
9/19/01,,,,,,,,,,,,
9/20/01,0.413,0.136,,,,,,,,,,
9/21/01,,,,,,,,,,,,
9/22/01,0.387,0.132,,,,,,,,,,
9/23/01,0.572,0.163,,,,,,,,,,
9/24/01,,,,,,,,,,,,
9/25/01,,,,,,,,,,,,
9/26/01,,,,,,,,,,,,
9/27/01,,,,,,,,,,,,
9/28/01,0.43,0.141,,,,,,,,,,
9/29/01,0.401,0.134,,,,,,,,,,
9/30/01,0.489,0.151,,,,,,,,,,
10/1/01,0.384,0.132,,,,,,,,,,
10/2/01,,,,,,,,,,,,
10/3/01,0.354,0.125,,,,,,,,,,
10/4/01,0.617,0.173,,,,,,,,,,
10/5/01,0.395,0.135,,,,,,,,,,
10/6/01,,,,,,,,,,,,
10/7/01,,,,,,,,,,,,
10/8/01,0.255,0.097,,,,,,,,,,
10/9/01,,,,,,,,,,,,
10/10/01,,,,,,,,,,,,
10/11/01,,,,,,,,,,,,
10/12/01,,,,,,,,,,,,
10/13/01,,,,,,,,,,,,
10/14/01,,,,,,,,,,,,
10/15/01,,,,,,,,,,,,
10/16/01,,,,,,,,,,,,
10/17/01,0.448,0.145,,,,,,,,,,
10/18/01,0.544,0.161,,,,,,,,,,
10/19/01,,,,,,,,,,,,
10/20/01,0.594,0.167,,,,,,,,,,
10/21/01,,,,,,,,,,,,
10/22/01,,,,,,,,,,,,
10/23/01,0.017,,,,,,,,,,,
10/24/01,,,,,,,,,,,,
10/25/01,,,,,,,,,,,,
10/26/01,,,,,,,,,,,,
10/27/01,,,,,,,,,,,,
10/28/01,,,,,,,,,,,,
10/29/01,,,,,,,,,,,,
10/30/01,,,,,,,,,,,,
10/31/01,,,,,,,,,,,,
11/1/01,,,,,,,,,,,,
11/2/01,,,,,,,,,,,,
11/3/01,,,,,,,,,,,,
11/4/01,,,,,,,,,,,,
11/5/01,,,,,,,,,,,,
11/6/01,,,,,,,,,,,,
11/7/01,0.355,0.122,,,,,,,,,,
11/8/01,,,,,,,,,,,,
11/9/01,,,,,,,,,,,,
11/10/01,0.36,0.121,,,,,,,,,,
11/11/01,,,,,,,,,,,,
11/12/01,,,,,,,,,,,,
11/13/01,,,,,,,,,,,,
11/14/01,,,,,,,,,,,,
11/15/01,,,,,,,,,,,,
11/16/01,,,,,,,,,,,,
11/17/01,,,,,,,,,,,,
11/18/01,,,,,,,,,,,,
11/19/01,,,,,,,,,,,,
11/20/01,,,,,,,,,,,,
11/21/01,,,,,,,,,,,,
11/22/01,,,,,,,,,,,,
11/23/01,,,,,,,,,,,,
11/24/01,,,,,,,,,,,,
11/25/01,,,,,,,,,,,,
11/26/01,,,,,,,,,,,,
11/27/01,,,,,,,,,,,,
11/28/01,,,,,,,,,,,,
11/29/01,,,,,,,,,,,,
11/30/01,,,,,,,,,,,,
12/1/01,,,,,,,,,,,,
12/2/01,,,,,,,,,,,,
12/3/01,0.064,0.055,,,,,,,,,,
12/4/01,,,,,,,,,,,,
12/5/01,,,,,,,,,,,,
12/6/01,,,,,,,,,,,,
12/7/01,0.468,0.139,,,,,,,,,,
12/8/01,,,,,,,,,,,,
12/9/01,,,,,,,,,,,,
12/10/01,,,,,,,,,,,,
12/11/01,,,,,,,,,,,,
12/12/01,,,,,,,,,,,,
12/13/01,,,,,,,,,,,,
12/14/01,,,,,,,,,,,,
12/15/01,,,,,,,,,,,,
12/16/01,,,,,,,,,,,,
12/17/01,0.267,0.109,,,,,,,,,,
12/18/01,,,,,,,,,,,,
12/19/01,,,,,,,,,,,,
12/20/01,,,,,,,,,,,,
12/21/01,,,,,,,,,,,,
12/22/01,,,,,,,,,,,,
12/23/01,0.549,0.162,,,,,,,,,,
12/24/01,0.203,0.096,,,,,,,,,,
12/25/01,,,,,,,,,,,,
12/26/01,,,,,,,,,,,,
12/27/01,,,,,,,,,,,,
12/28/01,0.23,0.086,,,,,,,,,,
12/29/01,,,,,,,,,,,,
12/30/01,,,,,,,,,,,,
12/31/01,,,,,,,,,,,,
1/1/02,,,,,,,,,,,,
1/2/02,,,,,,,,,,,,
1/3/02,,,,,,,,,,,,
1/4/02,,,,,,,,,,,,
1/5/02,,,,,,,,,,,,
1/6/02,,,,,,,,,,,,
1/7/02,,,,,,,,,,,,
1/8/02,,,,,,,,,,,,
1/9/02,,,,,,,,,,,,
1/10/02,,,,,,,,,,,,
1/11/02,,,,,,,,,,,,
1/12/02,,,,,,,,,,,,
1/13/02,,,,,,,,,,,,
1/14/02,,,,,,,,,,,,
1/15/02,,,,,,,,,,,,
1/16/02,,,,,,,,,,,,
1/17/02,,,,,,,,,,,,
1/18/02,,,,,,,,,,,,
1/19/02,,,,,,,,,,,,
1/20/02,,,,,,,,,,,,
1/21/02,,,,,,,,,,,,
1/22/02,,,,,,,,,,,,
1/23/02,,,,,,,,,,,,
1/24/02,,,,,,,,,,,,
1/25/02,,,,,,,,,,,,
1/26/02,,,,,,,,,,,,
1/27/02,,,,,,,,,,,,
1/28/02,0.277,0.082,,,,,,,,,,
1/29/02,,,,,,,,,,,,
1/30/02,,,,,,,,,,,,
1/31/02,,,,,,,,,,,,
2/1/02,,,,,,,,,,,,
2/2/02,,,,,,,,,,,,
2/3/02,,,,,,,,,,,,
2/4/02,,,,,,,,,,,,
2/5/02,,,,,,,,,,,,
2/6/02,,,,,,,,,,,,
2/7/02,,,,,,,,,,,,
2/8/02,,,,,,,,,,,,
2/9/02,,,,,,,,,,,,
2/10/02,,,,,,,,,,,,
2/11/02,,,,,,,,,,,,
2/12/02,,,,,,,,,,,,
2/13/02,0.288,0.104,,,,,,,,,,
2/14/02,0.341,0.118,,,,,,,,,,
2/15/02,0.332,0.123,,,,,,,,,,
2/16/02,,,,,,,,,,,,
2/17/02,0.074,0.05,,,,,,,,,,
2/18/02,,,,,,,,,,,,
2/19/02,,,,,,,,,,,,
2/20/02,,,,,,,,,,,,
2/21/02,,,,,,,,,,,,
2/22/02,,,,,,,,,,,,
2/23/02,,,,,,,,,,,,
2/24/02,,,,,,,,,,,,
2/25/02,,,,,,,,,,,,
2/26/02,0.266,0.107,,,,,,,,,,
2/27/02,,,,,,,,,,,,
2/28/02,,,,,,,,,,,,
3/1/02,0.306,0.105,,,,,,,,,,
3/2/02,0.43,0.137,,,,,,,,,,
3/3/02,0.266,0.106,,,,,,,,,,
3/4/02,,,,,,,,,,,,
3/5/02,,,,,,,,,,,,
3/6/02,,,,,,,,,,,,
3/7/02,,,,,,,,,,,,
3/8/02,,,,,,,,,,,,
3/9/02,,,,,,,,,,,,
3/10/02,,,,,,,,,,,,
3/11/02,,,,,,,,,,,,
3/12/02,,,,,,,,,,,,
3/13/02,,,,,,,,,,,,
3/14/02,,,,,,,,,,,,
3/15/02,,,,,,,,,,,,
3/16/02,,,,,,,,,,,,
3/17/02,,,,,,,,,,,,
3/18/02,,,,,,,,,,,,
3/19/02,,,,,,,,,,,,
3/20/02,,,,,,,,,,,,
3/21/02,,,,,,,,,,,,
3/22/02,,,,,,,,,,,,
3/23/02,,,,,,,,,,,,
3/24/02,,,,,,,,,,,,
3/25/02,,,,,,,,,,,,
3/26/02,,,,,,,,,,,,
3/27/02,,,,,,,,,,,,
3/28/02,,,,,,,,,,,,
3/29/02,,,,,,,,,,,,
3/30/02,,,,,,,,,,,,
3/31/02,,,,,,,,,,,,
4/1/02,,,,,,,,,,,,
4/2/02,,,,,,,,,,,,
4/3/02,0.498,0.146,,,,,,,,,,
4/4/02,0.271,0.104,,,,,,,,,,
4/5/02,,,,,,,,,,,,
4/6/02,,,,,,,,,,,,
4/7/02,,,,,,,,,,,,
4/8/02,0.334,0.116,,,,,,,,,,
4/9/02,,,,,,,,,,,,
4/10/02,,,,,,,,,,,,
4/11/02,,,,,,,,,,,,
4/12/02,,,,,,,,,,,,
4/13/02,,,,,,,,,,,,
4/14/02,,,,,,,,,,,,
4/15/02,,,,,,,,,,,,
4/16/02,,,,,,,,,,,,
4/17/02,,,,,,,,,,,,
4/18/02,,,,,,,,,,,,
4/19/02,,,,,,,,,,,,
4/20/02,,,,,,,,,,,,
4/21/02,,,,,,,,,,,,
4/22/02,,,,,,,,,,,,
4/23/02,,,,,,,,,,,,
4/24/02,0.366,0.12,,,,,,,,,,
4/25/02,,,,,,,,,,,,
4/26/02,,,,,,,,,,,,
4/27/02,,,,,,,,,,,,
4/28/02,0.553,0.154,,,,,,,,,,
4/29/02,,,,,,,,,,,,
4/30/02,,,,,,,,,,,,
5/1/02,,,,,,,,,,,,
5/2/02,,,,,,,,,,,,
5/3/02,,,,,,,,,,,,
5/4/02,,,,,,,,,,,,
5/5/02,,,,,,,,,,,,
5/6/02,,,,,,,,,,,,
5/7/02,,,,,,,,,,,,
5/8/02,,,,,,,,,,,,
5/9/02,,,,,,,,,,,,
5/10/02,,,,,,,,,,,,
5/11/02,0.221,0.091,,,,,,,,,,
5/12/02,,,,,,,,,,,,
5/13/02,,,,,,,,,,,,
5/14/02,,,,,,,,,,,,
5/15/02,0.377,0.127,,,,,,,,,,
5/16/02,0.559,0.139,,,,,,,,,,
5/17/02,0.311,0.082,,,,,,,,,,
5/18/02,,,,,,,,,,,,
5/19/02,,,,,,,,,,,,
5/20/02,,,,,,,,,,,,
5/21/02,,,,,,,,,,,,
5/22/02,,,,,,,,,,,,
5/23/02,,,,,,,,,,,,
5/24/02,,,,,,,,,,,,
5/25/02,,,,,,,,,,,,
5/26/02,,,,,,,,,,,,
5/27/02,,,,,,,,,,,,
5/28/02,,,,,,,,,,,,
5/29/02,,,,,,,,,,,,
5/30/02,0.821,0.223,,,,,,,,,,
5/31/02,0.542,0.16,,,,,,,,,,
6/1/02,,,,,,,,,,,,
6/2/02,,,,,,,,,,,,
6/3/02,,,,,,,,,,,,
6/4/02,,,,,,,,,,,,
6/5/02,,,,,,,,,,,,
6/6/02,,,,,,,,,,,,
6/7/02,,,,,,,,,,,,
6/8/02,,,,,,,,,,,,
6/9/02,,,,,,,,,,,,
6/10/02,,,,,,,,,,,,
6/11/02,0.792,0.211,,,,,,,,,,
6/12/02,0.536,0.16,,,,,,,,,,
6/13/02,0.771,0.205,,,,,,,,,,
6/14/02,0.484,0.151,,,,,,,,,,
6/15/02,,,,,,,,,,,,
6/16/02,,,,,,,,,,,,
6/17/02,,,,,,,,,,,,
6/18/02,,,,,,,,,,,,
6/19/02,,,,,,,,,,,,
6/20/02,0.824,0.221,,,,,,,,,,
6/21/02,0.521,0.159,,,,,,,,,,
6/22/02,,,,,,,,,,,,
6/23/02,0.23,0.053,,,,,,,,,,
6/24/02,0.724,0.186,,,,,,,,,,
6/25/02,0.592,0.174,,,,,,,,,,
6/26/02,0.883,0.243,,,,,,,,,,
6/27/02,,,,,,,,,,,,
6/28/02,,,,,,,,,,,,
6/29/02,,,,,,,,,,,,
6/30/02,,,,,,,,,,,,
7/1/02,0.869,0.208,,,,,,,,,,
7/2/02,0.662,0.188,,,,,,,,,,
7/3/02,,,,,,,,,,,,
7/4/02,,,,,,,,,,,,
7/5/02,,,,,,,,,,,,
7/6/02,0.882,0.245,,,,,,,,,,
7/7/02,,,,,,,,,,,,
7/8/02,,,,,,,,,,,,
7/9/02,0.507,0.159,,,,,,,,,,
7/10/02,0.88,0.243,,,,,,,,,,
7/11/02,0.705,0.194,,,,,,,,,,
7/12/02,0.86,0.234,,,,,,,,,,
7/13/02,,,,,,,,,,,,
7/14/02,,,,,,,,,,,,
7/15/02,0.852,0.232,,,,,,,,,,
7/16/02,0.613,0.179,,,,,,,,,,
7/17/02,0.871,0.243,,,,,,,,,,
7/18/02,0.389,0.113,,,,,,,,,,
7/19/02,,,,,,,,,,,,
7/20/02,0.722,0.201,,,,,,,,,,
7/21/02,0.598,0.176,,,,,,,,,,
7/22/02,0.78,0.212,,,,,,,,,,
7/23/02,0.553,0.169,,,,,,,,,,
7/24/02,0.882,0.245,,,,,,,,,,
7/25/02,,,,,,,,,,,,
7/26/02,,,,,,,,,,,,
7/27/02,,,,,,,,,,,,
7/28/02,,,,,,,,,,,,
7/29/02,0.774,0.213,,,,,,,,,,
7/30/02,,,,,,,,,,,,
7/31/02,0.839,0.228,,,,,,,,,,
8/1/02,0.536,0.163,,,,,,,,,,
8/2/02,,,,,,,,,,,,
8/3/02,0.616,0.168,,,,,,,,,,
8/4/02,,,,,,,,,,,,
8/5/02,0.54,0.166,,,,,,,,,,
8/6/02,,,,,,,,,,,,
8/7/02,,,,,,,,,,,,
8/8/02,0.475,0.15,,,,,,,,,,
8/9/02,0.854,0.233,,,,,,,,,,
8/10/02,,,,,,,,,,,,
8/11/02,0.798,0.217,,,,,,,,,,
8/12/02,0.523,0.16,,,,,,,,,,
8/13/02,0.851,0.233,,,,,,,,,,
8/14/02,0.716,0.198,,,,,,,,,,
8/15/02,0.467,0.149,,,,,,,,,,
8/16/02,0.823,0.219,,,,,,,,,,
8/17/02,0.496,0.155,,,,,,,,,,
8/18/02,0.84,0.227,,,,,,,,,,
8/19/02,,,,,,,,,,,,
8/20/02,,,,,,,,,,,,
8/21/02,,,,,,,,,,,,
8/22/02,0.483,0.15,,,,,,,,,,
8/23/02,0.786,0.213,,,,,,,,,,
8/24/02,0.526,0.16,,,,,,,,,,
8/25/02,,,,,,,,,,,,
8/26/02,,,,,,,,,,,,
8/27/02,0.761,0.206,,,,,,,,,,
8/28/02,0.545,0.163,,,,,,,,,,
8/29/02,0.434,0.099,,,,,,,,,,
8/30/02,,,,,,,,,,,,
8/31/02,0.471,0.147,,,,,,,,,,
9/1/02,,,,,,,,,,,,
9/2/02,0.439,0.145,,,,,,,,,,
9/3/02,,,,,,,,,,,,
9/4/02,0.484,0.152,,,,,,,,,,
9/5/02,0.782,0.206,,,,,,,,,,
9/6/02,0.509,0.157,,,,,,,,,,
9/7/02,,,,,,,,,,,,
9/8/02,0.636,0.173,,,,,,,,,,
9/9/02,0.522,0.159,,,,,,,,,,
9/10/02,0.686,0.166,,,,,,,,,,
9/11/02,0.436,0.143,,,,,,,,,,
9/12/02,0.753,0.201,,,,,,,,,,
9/13/02,0.512,0.157,,,,,,,,,,
9/14/02,,,,,,,,,,,,
9/15/02,,,,,,,,,,,,
9/16/02,,,,,,,,,,,,
9/17/02,,,,,,,,,,,,
9/18/02,0.445,0.146,,,,,,,,,,
9/19/02,0.743,0.202,,,,,,,,,,
9/20/02,0.448,0.145,,,,,,,,,,
9/21/02,0.725,0.196,,,,,,,,,,
9/22/02,0.516,0.157,,,,,,,,,,
9/23/02,0.476,0.149,,,,,,,,,,
9/24/02,0.576,0.167,,,,,,,,,,
9/25/02,0.469,0.149,,,,,,,,,,
9/26/02,,,,,,,,,,,,
9/27/02,0.461,0.145,,,,,,,,,,
9/28/02,,,,,,,,,,,,
9/29/02,,,,,,,,,,,,
9/30/02,,,,,,,,,,,,
10/1/02,,,,,,,,,,,,
10/2/02,,,,,,,,,,,,
10/3/02,,,,,,,,,,,,
10/4/02,,,,,,,,,,,,
10/5/02,,,,,,,,,,,,
10/6/02,,,,,,,,,,,,
10/7/02,,,,,,,,,,,,
10/8/02,,,,,,,,,,,,
10/9/02,,,,,,,,,,,,
10/10/02,,,,,,,,,,,,
10/11/02,,,,,,,,,,,,
10/12/02,0.577,0.166,,,,,,,,,,
10/13/02,0.429,0.132,,,,,,,,,,
10/14/02,0.632,0.176,,,,,,,,,,
10/15/02,0.369,0.129,,,,,,,,,,
10/16/02,0.7,0.19,,,,,,,,,,
10/17/02,0.388,0.134,,,,,,,,,,
10/18/02,,,,,,,,,,,,
10/19/02,,,,,,,,,,,,
10/20/02,,,,,,,,,,,,
10/21/02,,,,,,,,,,,,
10/22/02,0.391,0.133,,,,,,,,,,
10/23/02,0.628,0.171,,,,,,,,,,
10/24/02,0.344,0.124,,,,,,,,,,
10/25/02,0.469,0.143,,,,,,,,,,
10/26/02,0.406,0.134,,,,,,,,,,
10/27/02,,,,,,,,,,,,
10/28/02,,,,,,,,,,,,
10/29/02,,,,,,,,,,,,
10/30/02,0.615,0.174,,,,,,,,,,
10/31/02,0.335,0.122,,,,,,,,,,
11/1/02,0.674,0.181,,,,,,,,,,
11/2/02,0.361,0.126,,,,,,,,,,
11/3/02,0.449,0.144,,,,,,,,,,
11/4/02,,,,,,,,,,,,
11/5/02,,,,,,,,,,,,
11/6/02,,,,,,,,,,,,
11/7/02,,,,,,,,,,,,
11/8/02,,,,,,,,,,,,
11/9/02,,,,,,,,,,,,
11/10/02,,,,,,,,,,,,
11/11/02,,,,,,,,,,,,
11/12/02,,,,,,,,,,,,
11/13/02,,,,,,,,,,,,
11/14/02,,,,,,,,,,,,
11/15/02,0.679,0.183,,,,,,,,,,
11/16/02,,,,,,,,,,,,
11/17/02,,,,,,,,,,,,
11/18/02,,,,,,,,,,,,
11/19/02,,,,,,,,,,,,
11/20/02,,,,,,,,,,,,
11/21/02,,,,,,,,,,,,
11/22/02,,,,,,,,,,,,
11/23/02,,,,,,,,,,,,
11/24/02,0.493,0.146,,,,,,,,,,
11/25/02,0.341,0.124,,,,,,,,,,
11/26/02,0.349,0.107,,,,,,,,,,
11/27/02,0.304,0.115,,,,,,,,,,
11/28/02,0.357,0.126,,,,,,,,,,
11/29/02,,,,,,,,,,,,
11/30/02,,,,,,,,,,,,
12/1/02,,,,,,,,,,,,
12/2/02,0.23,0.102,,,,,,,,,,
